                                                    capacity     operations     bandwidth 
pool                                              alloc   free   read  write   read  write
------------------------------------------------  -----  -----  -----  -----  -----  -----
fsbench_hybrid                                    70.7G   501G    109  1.12K  13.2M   244M
  mirror-0                                        17.5G   110G     25    175  3.24M  49.9M
    /dev/disk/by-id/wwn-0x5000c50094425a2b-part1      -      -     13     82  1.65M  24.9M
    /dev/disk/by-id/wwn-0x5000c50094420143-part1      -      -     12     92  1.60M  24.9M
  mirror-1                                        17.5G   109G     25    162  3.23M  49.3M
    /dev/disk/by-id/wwn-0x5000c500944224af-part1      -      -     12     90  1.60M  24.7M
    /dev/disk/by-id/wwn-0x5000c50094420323-part1      -      -     13     72  1.63M  24.7M
  mirror-2                                        17.7G   109G     26    179  3.33M  49.4M
    /dev/disk/by-id/wwn-0x5000c5009442212f-part1      -      -     13     86  1.66M  24.7M
    /dev/disk/by-id/wwn-0x5000c5009442640f-part1      -      -     13     93  1.67M  24.7M
  mirror-3                                        17.9G   109G     26    183  3.32M  50.2M
    /dev/disk/by-id/wwn-0x5000c500944259f7-part1      -      -     13     92  1.64M  25.1M
    /dev/disk/by-id/wwn-0x5000c50094422a7f-part1      -      -     13     90  1.69M  25.1M
special                                               -      -      -      -      -      -
  mirror-4                                         125M  63.4G      4    444   114K  45.6M
    /dev/disk/by-id/wwn-0x5000cca04ec26e38-part1      -      -      2    221  55.9K  22.8M
    /dev/disk/by-id/wwn-0x5000cca04ec25d84-part1      -      -      2    222  58.5K  22.8M
cache                                                 -      -      -      -      -      -
  /dev/disk/by-id/wwn-0x5000cca04ec25e3c-part1    62.6G  1.42G      1    291  29.8K  34.1M
------------------------------------------------  -----  -----  -----  -----  -----  -----
