                                                    capacity     operations     bandwidth 
pool                                              alloc   free   read  write   read  write
------------------------------------------------  -----  -----  -----  -----  -----  -----
fsbench_hybrid_v2                                 70.7G   501G    109  1.12K  13.3M   245M
  mirror-0                                        17.4G   110G     25    164  3.21M  48.4M
    /dev/disk/by-id/wwn-0x5000c50094425a2b-part1      -      -     12     88  1.60M  24.1M
    /dev/disk/by-id/wwn-0x5000c50094420143-part1      -      -     12     75  1.61M  24.2M
  mirror-1                                        17.5G   110G     25    169  3.24M  48.6M
    /dev/disk/by-id/wwn-0x5000c500944224af-part1      -      -     13     89  1.63M  24.3M
    /dev/disk/by-id/wwn-0x5000c50094420323-part1      -      -     12     80  1.61M  24.3M
  mirror-2                                        17.8G   109G     25    181  3.24M  50.3M
    /dev/disk/by-id/wwn-0x5000c5009442212f-part1      -      -     13     84  1.63M  25.2M
    /dev/disk/by-id/wwn-0x5000c5009442640f-part1      -      -     12     97  1.61M  25.2M
  mirror-3                                        17.9G   109G     27    176  3.50M  49.8M
    /dev/disk/by-id/wwn-0x5000c500944259f7-part1      -      -     13     94  1.74M  24.9M
    /dev/disk/by-id/wwn-0x5000c50094422a7f-part1      -      -     14     81  1.75M  24.9M
special                                               -      -      -      -      -      -
  mirror-4                                         130M  63.4G      3    458   110K  47.5M
    /dev/disk/by-id/wwn-0x5000cca04ec26e38-part1      -      -      1    229  54.3K  23.7M
    /dev/disk/by-id/wwn-0x5000cca04ec25d84-part1      -      -      2    229  55.3K  23.7M
cache                                                 -      -      -      -      -      -
  /dev/disk/by-id/wwn-0x5000cca04ec25e3c-part1    58.4G  5.59G      1    585  29.9K  71.0M
------------------------------------------------  -----  -----  -----  -----  -----  -----
